video_index,comment_count,view_count,like_count,title,description,channel,tags,categories,duration
77,2100,258422,11918,ONE OF THE BEST WEEKENDS EVER | PAX South 2016,"First off, HUGE apology for going afk and not uploading AGAIN even though I said there would be videos for the weekend. I DID record the videos (G-Dash, horror game, cooking w/ Kenshin) but I didn't get to edit them. I THOUGHT I'd be able to edit during the nights at PAX, then of course we ended up getting into shenanigans and I wasn't able to. 

Consistency is obviously something I'm struggling with right now, can't seem to find that groove I used to have. But I am not going to give up, I'm just sorry to all those patiently waiting like, ""where is this dude at?""

Anyway, these are our adventures or 'mis'adventures of PAX South 2016, DEFINITELY best PAX experience I've had so far. Thank you to all those that made my experience better including:

FIRSTLY ALL OF THE SAMURAI I GOT TO MEET :)
Brandon: https://www.youtube.com/channel/UCW38BrfQCOM2MaPJFzlaeJw
Entoan: https://www.youtube.com/user/EntoanThePack
G: https://www.youtube.com/channel/UCcDooVnH631JFnP_20ftacA
Cray: https://www.youtube.com/user/carmelit24
MattShea: https://www.youtube.com/user/MattShea369
SomeGuyDude: https://www.youtube.com/user/someguydudeGAME
TomatoGaming: https://www.youtube.com/user/TomatoandToph
MessYourself: https://www.youtube.com/user/MessYourself

And everyone else I got to meet that I'm forgetting. See you next year ;)

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=sciZrDsxu5E
Outro bottom video: https://www.youtube.com/watch?v=g9KNFVS-jqk

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,pax south 2016 vlog one of the best weekends ever coryxkenshin cory kenshin funny hilarious moments entoan mattshea ogchan tomatogaming appeareances so many awesome youtubers gaming convention san antonio,Gaming,632
78,2500,180881,8037,So Much To Be Thankful For | Pre-Pax South 2016,"Just in case you don't like vlogs:

1. In the charity we did a few weeks back, Spreadshirt got back to me and we raised $2340 JUST in T-shirt sales. Meaning, we raised a grand total of $9630 for our Save The Children campaign. INCREDIBLE WORK MY SAMURAI BRETHREN.

2. A year ago I couldn't even afford to go to Pax East by myself, and now just a short year later I'm able to not only fund my trip, but help out with financial probs going on in my family -- thanks to you guys' support on the channel.

3. HUGE thanks to my good friend Tear Of Grace (https://www.youtube.com/user/TearofGrace) for helping out handsomely during the charity and just being a good dude in general. Also s/o to the Emily Wants To Play dev for stopping by the stream and showing so much love.

4. I love you Samurai to death, you all make me so extremely happy everyday and I am so blessed to belong to a community like this one.

Top outro video: https://www.youtube.com/watch?v=g9KNFVS-jqk
Bottom outro video:  https://www.youtube.com/watch?v=DaVoUU0KO5E",CoryxKenshin,so much to be grateful for coryxkenshin cory kenshin thank you pre pax south 2016 charity live stream,Gaming,501
79,2700,902195,32278,HIGHEST BARS IN THE WORLD | New York [Wedding] Vlog 2016,"I felt like I got so many more clips while I was there but this was pretty much all I had. Nevertheless, the wedding was a success and I was really happy to support my bro by being there (even though I could understand little to nothing.) Also, this was supposed to be up yesterday so my apologies.

That fire flame mario song I used by my dude Raisi K: https://www.youtube.com/watch?v=CGAhXgqsOMw

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=DaVoUU0KO5E
Outro bottom video: https://www.youtube.com/watch?v=IB444mD3Xq8

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,highest bars in the world rap freestyle new york wedding vlog 2016 coryxkenshin cory kenshin funny hilarious kong NY trip vacation,Gaming,485
80,3800,723352,38926,"FOR THE SAKE OF THIS VIDEO, TODAY IS THANKSGIVING (Why I'm Thankful)","So grateful to be at the point of the life I am now. Excited for the future, and just want you guys to know it wouldn't have been possible without you guys. I love you freakin Samurai so much. :3


Was supposed to publish yesterday, didn't because of a YouTube processing error on my part.",CoryxKenshin,Thanksgiving (Holiday) thanksgiving 2015 celebration coryxkenshin cory kenshin samurai family funny moments for the sake of this video today is vlog,Gaming,336
81,2000,260485,10747,Burnt Out On YouTube!? (Apology to The Samurai),"If you didn't have time to watch the video, I basically said that making these YouTube videos was started to wear on me and that it started to affect the way I felt towards making videos, negatively. And so I took a break (obviously you could see by my trash upload schedule) but that I apologized the my manner of taking time away.

From here on out, I will announce when I need to take a few days off. That doesn't mean like twice a month I'm gonna take a break, no I mean every 3-4 months when my YouTube gas tank is depleted, I'll take a few days to recuperate.

Thank you guys so much for understanding, and thank all you Samurai for having my back.

~CK

And be SURE to check out ToG's channel (he's bae): https://www.youtube.com/user/TearofGrace",CoryxKenshin,burnt burned out on youtube apology to the samurai coryxkenshin cory kenshin ck lets play player tired of making videos no motivation too many breaks inconsistent amazing community thank you,Gaming,387
82,6100,3134746,68024,THE ULTIMATE HALLOWEEN BATTLE,"...I regret nothing. HAPPY HALLOWEEN!!

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=s4fMvQBD1Vk
Outro bottom video: https://www.youtube.com/watch?v=dmsVPR8dh_U

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,the ultimate halloween battle coryxkenshin cory kenshin skit comedy sketch killer dance dubstep this is geometry dash song funny hilarious moments,Gaming,282
83,2900,3038991,52573,RAIDEN!? SUCKA PLEASE I'M CORYXKENSHIN | Snapchat Update #2,"The Snapchat updates KEEP ON COMING!

MAKE SURE TO SEND SNAPS TMRW (OCT.16th) 7PM EST TO BE IN THE VIDEO
Snapchat: CoryxKenshin

**I also recorded today's G-Dash episode yesterday (just hard to edit/upload at home), so I am now home :)

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=-I47c8FyBjI
Outro bottom video: https://www.youtube.com/watch?v=DQcL7Qo08h4

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,thunder lightning raiden snapchat #2 snap update sucka please im coryxkenshin funny hilarious moments faces emojis opening snapchats cory kenshin ck Storm,Gaming,310
84,1200,468711,15365,Going To The Dentist Sucks...,"Sidenote: I think I was high off dentist druggery in that bathroom. Unsure.

Just a quick update of where I've been. I just want to thank you guys so much for your support. Not going to get super in detail about it right now, but I'll just say my family hasn't been able to afford for me to go to an orthodontist in a long time. But thanks to you Samurai, I can finally after YEARS get my dentistry taken care of. Once again, you guys are the best.

In Chicago but still going to try and make a video for tomorrow.",CoryxKenshin,going to the dentist sucks coryxkenshin cory kenshin ck funny hilarious high,Gaming,56
85,2400,2674858,42005,I'VE CREATED A MONSTER | Snapchat Updates Be Like...,"I don't usually Snapchat, but when I do.. HUEHEUHE

My Snapchat: @CoryxKenshin
Entoan's video:: https://www.youtube.com/watch?v=R95fqXRoefs

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=cdtraruEy-4
Outro bottom video: https://www.youtube.com/watch?v=L19nsJqyIWA

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,snapchat update puke rainbow funny hilarious iphone gameplay kinda.. lol weird coryxkenshin cory kenshin one off apple,Gaming,239
86,4600,2288575,52648,"MY FAMILY, FRIENDS HATE ME | The Bean Boozled Challenge [Phone Version]","Today I tried out the ""oh so popular"" Bean Boozled jellybeans and they are no joke!

Bros that helped out: 
G: https://www.youtube.com/channel/UCcDooVnH631JFnP_20ftacA
Mav: https://www.youtube.com/user/MavAttackOfficial

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=cdtraruEy-4
Outro bottom video: https://www.youtube.com/watch?v=L19nsJqyIWA

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,bean boozled challenge the bean boozled challenge disgusting candy reaction funny hilarious jellybeans bean boozled reactions scream call phone version my family and friends hate me coryxkenshin cory kenshin rage games,Gaming,464
87,1300,173992,7723,WHERE THE FREAK IS CORYXKENSHIN!?,"This short update will tell you what's been up. Long story short, I'm helping my parents move some things out of their storage unit (my gosh... so much stuff) basically in order to save them a TON of money and this culminated with me driving a U-HAUL truck (which I've never driven) from Chicago to Detroit. It sort of sprang up quick and of course I can't say no to my parents, I mean, they're my parents. Man I miss you all, but to everyone wondering if I'm ok, I great. It feels so good to be able to help out financially with my family to attend to an issue that has plagued me for years (my braces) so please excuse my absence. I WILL RETURN!",CoryxKenshin,where the freak is cory coryxkenshin vlog update missing gamer youtuber,Gaming,115
88,445,112846,4696,NEW PANTS SUCKIE,"SO good to be home, EST timezone for the win! But regular schedule will continue tomorrow. Extremely grateful for the channel growth guys. Keep Samurai SLICIN!",CoryxKenshin,new pants suckie coryxkenshin cory kenshin vlog,Gaming,91
89,1200,702200,17808,What To Do When Spider-Man Breaks Into Your House: THE MOVIE,"...I ..I don't even know anymore you guys...







This was just something silly my friend Brandon and I made since we haven't seen each other for over a year. I couldn't stop laughing when I edited this..",CoryxKenshin,what to do when spider-man breaks into your house the movie,Gaming,175
90,740,144535,5585,BAD DAY,"So... my car got towed. Sucks, but already spoke with my dad about it and got the information I needed to make my next move. Every day can't be a good day, but even through the bad days we can make good from them. Like NOW I now certain things about cars that will prevent me from ever being towed again! Anyway, I appreciate all you Samurai brothas/sistas being here for me, and ESPECIALLY appreciate the fact that the channel is in a growth spurt! IT'S FREAKING AWESOME! Going to try and work REALLY hard now, thanks for your patience.

New Upload Times
~4:30 & 6:30 pm EST. NOT EXACTLY THOSE TIMES, although I will try exactly for those times.",CoryxKenshin,bad day vlog august 19th 2015 wont forget this dumb as long i live coryxkenshin cory kenshin ck,Gaming,185
91,5000,1264122,31297,THE END: The Game That Changed My Life,"We've come to the end of a very long road my friends. The end of a scary and jumpscare-filled road, but an amazing road nonetheless. I (for some reason) never though this day would come, but we've come to the end of Five Nights At Freddy's, and to Scott to YOU we all say: Thank you.

Relive the memories:

FNAF1: Gameplay: https://www.youtube.com/watch?v=SMBtaXCWfAQ&list=PLxoHK1S7LhWRML18B4Cj7v8ITO-3hIooO&index=1

FNAF2: Gameplay:  https://www.youtube.com/watch?v=emtWAX7MB3M&index=1&list=PLxoHK1S7LhWQf_otHtzIX7SRTldTNfIdu

FNAF3: Gameplay: https://www.youtube.com/watch?v=EcrwglKzPmA&list=PLxoHK1S7LhWSlxW-gUc4UkaYAJh9mGt85&index=1

FNAF4: Gameplay: https://www.youtube.com/watch?v=yBf5b_4T8f8&list=PLxoHK1S7LhWTlCjfIupmBn4FOxR_KVn3Z&index=1",CoryxKenshin,the end of five nights freddys game that changed my life final screenshot scottgames website vlog recollection memories journey gameplay coryxkenshin cory kenshin,Gaming,564
92,1200,56945,2563,WHICH ONE!?,"See you guys tomorrow!
Twitter: @CoryxKenshin",CoryxKenshin,which one poster spider man superman coryxkenshin cory kenshin vlog,Gaming,67
93,4000,2394925,45121,ME AND ANGELINA JOLIE'S BABY!? BURN IT. | MakeMeBabies.com,"Because sometimes, make a baby.

Make your fantasies a reality: http://makemebabies.com/#page/1

The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=cZ5IkovJ1hk
Outro bottom video: https://www.youtube.com/watch?v=Zkm-NlVscYo

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,makemebabies.com gameplay me and angelina jolies baby burn it kill with fire funny hilarious moment coryxkenshin cory kenshin baby-making expert Angelina Jolie (Celebrity) Zooey Deschanel (Celebrity) Meagan Good (TV Personality) make babies .com simulator nightmare fuel horrifying scream,Gaming,421
94,921,147439,6541,"THE PASSIONATE, THE HARDWORKING, THE SAMURAI | 90000","CLAP THAT UP! Over 90,000 people have subscribed to our channel and I still can't believe it. I give God the glory for blessing me with such selfless and genuinely kind people and I am not worthy of you guys, at all. But I will continue for as long as I can. Going on this ride with you all has been the coolest thing of my life.",CoryxKenshin,90000 subscriber video ninety thousand celebration hardwork the passionate hardworking samurai community coryxkenshin amazing fans support wonderful incredible happy moment milestone 90k 100k,Gaming,526
95,1400,1237007,24518,FIVE NIGHTS AT FREDDY'S 4 TRAILER REACTION! #ImDead,"FIVE NIGHTS AT FREDDY'S 4 TRAILER?! WHAT!?
UHM. THIS IS NOT A RESTAURANT.
 
Trailer link: https://www.youtube.com/watch?v=A-taWymx1WI
Song: ""Haunted House"" by Myuuji
Follow my Twtter: https://twitter.com/CoryxKenshin

I'm not exactly sure where this game is going to take place, but my theory is it is someones house. And we MAY be having a nightmare...",CoryxKenshin,Five nights at freddys 4 trailer five nights at freddys 4 trailer reaction fnaf4 trailer fnaf4 trailer reaction live five nights at freddys fnaf4 reactor reacting horror game fnaf funny hilarious jumpscare scream yell coryxkenshin cory kenshin theory analysis idea theories,Gaming,169
96,2300,1054136,38557,IT IS COMPLETE! | Building My PC (Part 2),"Hey guys, this would've been up A LONG time ago but upon rendering I noticed a weird ""green glitch"" that showed up in playback (for example, look closely 2:09). There are actually numerous graphical glitches in this video alone. I re-rendered, altering the settings, ~5 times and to no avail, this green glitch keeps sporadically plaguing me. After doing a little research, I am thinking my [EVGA GTX 970] GPU may be the cause, although have no way to confirm. If ANYONE knows anything about this, please let me know. I use Powerdirector 11 when I render by the way. I'm just ready to be rid of this tomfoolery, ESPECIALLY after building a $2000 brand spanking new machine, highly disappointed right now.

Part 1: https://www.youtube.com/watch?v=dbD9Z0dJiGw",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel it is complete building my pc part 2 evga gtx 970 green glitch render playback artifact graphical issue i7 core 5270k amazing first build,Gaming,1022
97,1400,394113,19127,BEST MOMENT EVER! ALL PARTS HERE! | Building My PC (Part 1),"This is literally one of THEE best days of my life. I'm more hyped than when I went to Cedar Point like FORREAL. (Sorry if I nerded out for a bit there LOL. I love this kind of thing.)

Special thanks to God and The Samurai for blessing so much very. Means more than the world to me you guys.

Part 2 (Putting it all together): https://www.youtube.com/watch?v=TQGqCON2fbk

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=Djqxaqsehho
Outro bottom video: https://www.youtube.com/watch?v=SRA4oeF1W7E

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel best moment ever all parts here building my pc part 1 episode one funny hilarious waiting for package like BRUH lets player custom computer gtx 970 intel i7 5820k product 32gb ram amazing grateful opening unboxing,Gaming,338
